distance,name,sd
86560.11,doc2vec_700_20_60,0.24128424
93213.47,doc2vec_100_20_60,0.24179564
92361.664,doc2vec_400_10_40,0.24261217
80028.74,doc2vec_800_10_60,0.2431169
81016.44,doc2vec_700_10_60,0.24366741
86420.086,doc2vec_100_10_60,0.24407068
97951.836,doc2vec_900_20_40,0.24472018
90681.5,doc2vec_800_10_40,0.24618003
86369.3,doc2vec_900_20_60,0.24631399
87160.78,doc2vec_600_20_60,0.24637352
105051.69,doc2vec_100_20_40,0.24661629
97882.5,doc2vec_700_20_40,0.2472104
99449.26,doc2vec_500_20_40,0.24742329
98174.68,doc2vec_100_10_40,0.24750419
87343.89,doc2vec_500_20_60,0.24762213
93459.77,doc2vec_300_10_40,0.24763358
79857.984,doc2vec_200_5_40,0.24783811
115904.3,doc2vec_400_5_10,0.2482603
83431.68,doc2vec_200_10_60,0.24836996
90945.34,doc2vec_600_10_40,0.24847934
155395.53,doc2vec_200_20_10,0.24851173
102732.48,doc2vec_200_20_40,0.24864885
69628.97,doc2vec_300_5_60,0.24870381
144054.34,doc2vec_200_10_10,0.24872237
119506.16,doc2vec_200_5_10,0.24880591
90292.28,doc2vec_200_20_60,0.24894951
83138.75,doc2vec_300_10_60,0.24914746
80901.125,doc2vec_900_10_60,0.24919218
81345.02,doc2vec_600_10_60,0.24969886
98831.71,doc2vec_600_20_40,0.25008085
81783.85,doc2vec_500_10_60,0.2502982
81437.37,doc2vec_400_10_60,0.25068027
93214.99,doc2vec_500_10_40,0.25070122
100299.58,doc2vec_400_20_40,0.25107104
77025.69,doc2vec_500_5_40,0.25139877
88142.36,doc2vec_400_20_60,0.2514842
88975.55,doc2vec_300_20_60,0.25157887
101479.0,doc2vec_300_20_40,0.25159505
68788.625,doc2vec_600_5_60,0.25161934
85391.53,doc2vec_800_20_60,0.25206035
71808.89,doc2vec_200_5_60,0.25209028
149931.98,doc2vec_100_10_10,0.2521702
95390.16,doc2vec_200_10_40,0.2523974
76153.45,doc2vec_900_5_40,0.25252798
117551.71,doc2vec_300_5_10,0.25288138
79121.336,doc2vec_300_5_40,0.2538541
68114.34,doc2vec_700_5_60,0.25388566
90698.47,doc2vec_700_10_40,0.25394428
68790.44,doc2vec_500_5_60,0.25395772
68080.55,doc2vec_900_5_60,0.25411797
122394.45,doc2vec_100_5_10,0.2544784
160033.94,doc2vec_100_20_10,0.25462666
140092.28,doc2vec_400_10_10,0.25481158
114540.03,doc2vec_500_5_10,0.254874
98447.91,doc2vec_800_20_40,0.25569046
76828.14,doc2vec_600_5_40,0.25623402
113373.34,doc2vec_700_5_10,0.25687745
69618.39,doc2vec_400_5_60,0.2568876
112985.125,doc2vec_600_5_10,0.25733808
136790.48,doc2vec_700_10_10,0.25756308
82518.3,doc2vec_100_5_40,0.25760028
76574.74,doc2vec_700_5_40,0.25790635
141238.11,doc2vec_300_10_10,0.25807428
135942.56,doc2vec_900_10_10,0.25815606
147019.34,doc2vec_700_20_10,0.25863218
67412.67,doc2vec_800_5_60,0.25865492
138184.48,doc2vec_600_10_10,0.25940233
135202.97,doc2vec_800_10_10,0.25942436
78177.414,doc2vec_400_5_40,0.25944558
90697.55,doc2vec_900_10_40,0.25947526
152968.64,doc2vec_300_20_10,0.25989023
112390.89,doc2vec_800_5_10,0.26019844
111900.95,doc2vec_900_5_10,0.26056126
73218.29,doc2vec_100_5_60,0.26085624
149425.17,doc2vec_400_20_10,0.26145855
136805.1,doc2vec_500_10_10,0.26168492
76247.41,doc2vec_800_5_40,0.2623474
150246.72,doc2vec_500_20_10,0.26257974
144941.55,doc2vec_900_20_10,0.26362628
146954.78,doc2vec_800_20_10,0.26372108
147571.97,doc2vec_600_20_10,0.2660327
